sleep_time,coffee,screen_time,stress_level,sport_time,nutrition,sleep_quality
0.9237970680206082,2,114,9,115,10,0
23.04190253564076,2,104,3,93,10,1
0.6794531074462782,0,40,1,117,3,0
22.116972789790367,4,159,8,9,5,0
0.6367852970590242,0,69,6,96,2,0
0.8612425734924507,0,41,2,27,6,0
1.6851398388536403,0,125,10,57,5,0
23.772565509007066,2,162,1,20,5,0
23.744914475821307,0,130,4,62,1,0
21.560862446283227,0,45,4,75,3,0
1.065389515489592,2,41,7,69,7,0
1.6235404361224433,0,30,1,73,7,0
23.193534376087786,4,0,4,53,4,0
0.6625033908259397,1,89,2,27,9,0
22.55556739971366,1,22,1,96,10,1
22.467353348775156,3,154,2,68,5,1
22.322390323751463,1,25,7,0,3,0
23.276091043123504,2,38,2,69,2,0
22.882557833382176,2,4,5,113,7,1
23.43632165523629,2,168,7,65,7,0
0.009024815259962793,1,57,1,28,1,0
23.794212018122685,3,17,2,30,1,0
0.6594158586168248,0,175,4,63,6,0
23.450539247992914,0,30,6,95,6,0
0.3362598589178667,1,134,3,86,10,0
1.8739172724691073,2,26,2,92,5,0
0.28756286373353745,0,15,7,48,6,0
1.9912914259270487,4,13,9,78,1,0
22.18349580799858,4,143,10,57,2,0
0.9803840873850334,0,159,7,118,6,0
23.073553404852987,3,88,1,89,10,1
21.892906911593737,1,166,4,33,8,0
23.20694669351392,2,2,3,86,1,0
21.504379976964117,4,35,3,57,9,1
23.196709759853917,2,146,5,91,3,0
21.161811526426266,0,136,6,0,7,0
22.10651225361145,3,44,7,7,2,0
0.9408056071922104,0,44,5,111,6,0
22.25456805639073,1,72,2,62,6,1
22.035018738289445,3,20,1,110,3,0
1.512499627711005,2,140,1,0,8,0
21.303332492161882,0,12,1,84,5,1
1.453528559753856,3,60,4,3,6,0
1.591887669584061,4,84,8,99,6,0
21.93505629731715,1,171,10,54,2,0
22.17467968584816,1,138,2,6,9,1
21.718932862602102,1,158,3,91,1,0
21.381195700090675,2,157,1,2,9,1
23.12645883760663,1,140,7,12,8,0
21.77943721871356,3,141,9,107,9,0
23.781481896166348,1,114,7,46,7,0
1.6055672669036447,1,80,10,63,7,0
22.478525851209955,2,60,5,90,10,1
1.201744912086479,1,140,4,86,1,0
1.630177939866062,0,9,8,0,1,0
23.55165952477428,3,137,8,56,6,0
1.2345289766262617,3,175,7,44,5,0
0.27813268730225715,3,175,8,21,2,0
22.39084140254895,3,144,8,112,6,0
0.7611829348757944,0,143,3,60,9,0
0.24057636005003147,3,170,7,59,9,0
22.752786020702022,2,178,7,25,2,0
23.331922323288786,2,86,8,18,4,0
23.15843673279421,3,119,9,28,3,0
23.491819605572612,2,22,2,102,5,1
1.4593933050635641,4,127,9,26,1,0
1.9567146681083152,4,29,8,65,8,0
23.652218776813548,2,119,2,50,2,0
21.261932470451093,1,46,10,16,3,0
23.817282553366823,4,167,1,109,7,1
0.002866118588663369,4,135,8,23,9,0
22.03513167211532,2,86,7,28,4,0
0.1397814973407563,4,155,6,22,3,0
21.290638291700635,4,49,2,50,8,1
1.6059317979796504,3,38,10,72,8,0
21.382004434546957,2,129,10,110,1,0
1.0589577844716587,2,158,5,66,3,0
0.7567979695663993,4,4,6,75,3,0
23.444603610874964,3,57,9,31,5,0
1.7690920689475824,1,122,3,103,3,0
1.0657014340389743,3,57,5,5,4,0
0.9484210515210805,3,110,4,0,9,0
1.5984145833291734,0,56,6,98,9,0
22.452937616568377,3,42,1,19,4,1
22.00151008563097,3,12,7,25,8,0
22.020428088914677,2,11,1,97,10,1
23.57714740220213,1,35,9,28,1,0
1.5667391993075093,1,102,10,114,8,0
22.38331575270244,2,60,8,69,8,0
1.6661924491118327,4,21,10,75,9,0
0.24475233579373423,2,67,6,51,3,0
22.706165875666894,3,160,9,35,2,0
22.783556521132148,0,71,9,61,2,0
1.3657362040367715,3,149,5,62,4,0
23.24289184269495,4,129,4,91,1,0
0.5318678095769123,3,171,3,77,6,0
0.05557265069893802,2,158,3,79,4,0
21.169259067200358,1,50,1,21,2,1
0.11153389642584344,3,155,7,102,6,0
23.05244639774287,1,101,9,51,9,0
